Price,Close,High,Low,Open,Volume
Ticker,VCSH,VCSH,VCSH,VCSH,VCSH
Date,,,,,
2010-07-06,53.511295318603516,53.511295318603516,53.399752809784964,53.44855132773319,53000
2010-07-07,53.57398986816406,53.60884820312099,53.49730578616696,53.60884820312099,61500
2010-07-08,53.539161682128906,53.55310183139571,53.41367906417714,53.43459194739616,75800
2010-07-09,53.539161682128906,53.61584579969042,53.44853209666296,53.61584579969042,112900
2010-07-12,53.62975311279297,53.62975311279297,53.462444830841854,53.46941224189046,42700
2010-07-13,53.58099365234375,53.622819423624506,53.525222411543886,53.53916788106299,66900
2010-07-14,53.734352111816406,53.74131952666784,53.60189676871709,53.7064664964988,24900
2010-07-15,53.77621078491211,53.79712367953906,53.70649936327543,53.78318352266795,63200
2010-07-16,53.894691467285156,53.901664201254604,53.78315431696225,53.838925551442536,44700
2010-07-19,53.84590148925781,53.8668143758385,53.81801586760407,53.84590148925781,37500
2010-07-20,53.92954635620117,53.98531758710092,53.852862243373345,53.98531758710092,171000
2010-07-21,53.97834014892578,53.98531288183985,53.90862877569567,53.93651438871509,77500
2010-07-22,53.99925231933594,53.99925231933594,53.8807424545386,53.92256821419959,57200
2010-07-23,53.985328674316406,54.02715444676251,53.95047031818571,53.99926882558564,79700
2010-07-26,53.95746994018555,53.95746994018555,53.84592739989632,53.95746994018555,179300
2010-07-27,53.950439453125,53.96438491505444,53.88072809938391,53.92255384790149,270000
2010-07-28,54.034088134765625,54.0550010058763,53.908605589467044,54.04105554604614,151100
2010-07-29,54.06898498535156,54.166582008754524,53.99230085001511,54.166582008754524,107100
2010-07-30,54.23734664916992,54.25132112970132,54.15351575508969,54.15351575508969,154100
2010-08-02,54.23033905029297,54.251300763220826,54.139526279741794,54.20239542942321,86400
2010-08-03,54.30021667480469,54.33514221384794,54.24432941669275,54.33514221384794,70100
2010-08-04,54.30021667480469,54.35609860321434,54.223373027326346,54.23035493731363,59200
2010-08-05,54.3560791015625,54.35607910156251,54.04172271444535,54.04172271444535,52400
2010-08-06,54.418968200683594,54.43293734910254,54.286237307045496,54.43293734910254,37400
2010-08-09,54.384056091308594,54.384056091308594,54.09764314747546,54.3700869380719,81800
2010-08-10,54.39802169799805,54.39802169799805,54.27925993119841,54.3630908260506,376100
2010-08-11,54.39104461669922,54.42597549517096,54.34214458466103,54.412001011900756,31000
2010-08-12,54.3560791015625,54.45387910331897,54.34210995689745,54.45387910331897,91000
2010-08-13,54.328155517578125,54.328155517578125,54.25829910909061,54.328155517578125,58900
2010-08-16,54.418968200683594,54.418968200683594,54.30021178516624,54.328150082004136,40900
2010-08-17,54.474876403808594,54.48185831585228,54.286258184551976,54.432958283027205,69200
2010-08-18,54.509796142578125,54.5517089291879,54.467883355968354,54.5517089291879,39100
2010-08-19,54.48884963989258,54.50281879473037,54.45391875824172,54.481862397621555,41400
2010-08-20,54.4399299621582,54.509786370552355,54.391029943312056,54.48882998100434,56200
2010-08-23,54.502784729003906,54.530728350918224,54.418959192961886,54.530728350918224,34000
2010-08-24,54.58663558959961,54.62156646221276,54.49582278238943,54.62156646221276,61500
2010-08-25,54.523773193359375,54.712386071692755,54.48185507507143,54.712386071692755,271600
2010-08-26,54.509796142578125,54.572670652196074,54.405008846350405,54.572670652196074,113400
2010-08-27,54.418968200683594,54.53772461620094,54.3910245741439,54.523755467781996,70800
2010-08-30,54.53076171875,54.54473620310872,54.35611797219525,54.53076171875,67700
2010-08-31,54.47614288330078,54.62312913361499,54.46214114130899,54.62312913361499,80300
2010-09-01,54.546165466308594,54.574163625536286,54.4481745790631,54.574163625536286,50100
2010-09-02,54.546165466308594,54.546165466308594,54.49717002268584,54.546165466308594,310500
2010-09-03,54.511146545410156,54.56714284343689,54.427157438470964,54.56714284343689,58700
2010-09-07,54.581146240234375,54.58814177262381,54.47615451328125,54.553148090373476,67700
2010-09-08,54.546165466308594,54.5881600350987,54.462170988625516,54.462170988625516,209600
2010-09-09,54.48313522338867,54.57413052070636,54.44814155065846,54.57413052070636,92900
2010-09-10,54.448184967041016,54.448184967041016,54.38518776173398,54.42718767863996,52200
2010-09-13,54.49712371826172,54.49712371826172,54.38513117650736,54.49712371826172,176500
2010-09-14,54.609153747558594,54.609153747558594,54.39917557723967,54.39917557723967,155500
2010-09-15,54.595149993896484,54.65814183448674,54.560150966834044,54.65814183448674,42100
2010-09-16,54.581146240234375,54.6231407949752,54.54614721788298,54.60913904999422,35500
2010-09-17,54.67916488647461,54.68616042241966,54.602171270248846,54.64416584633425,40300
2010-09-20,54.73513412475586,54.74913587128972,54.651145005959336,54.71413684505673,669900
2010-09-21,54.812095642089844,54.847094647846355,54.70010843584636,54.79109837467535,72200
2010-09-22,54.854095458984375,54.88908912460534,54.80510005503621,54.833092851493575,114300
2010-09-23,54.77012252807617,54.868113374400785,54.75612612435864,54.868113374400785,48900
2010-09-24,54.82610321044922,54.83309874026558,54.749109661676485,54.82610321044922,111200
2010-09-27,54.86815643310547,54.889153725210065,54.7841619245823,54.833157386194614,421600
2010-09-28,54.89613723754883,54.91013364782286,54.79114547013267,54.86813907689764,179300
2010-09-29,54.86815643310547,54.875157310508605,54.833157386194614,54.875157310508605,63000
2010-09-30,54.94804382324219,54.94804382324219,54.84284547508562,54.9129812742635,84900
2010-10-01,54.96910095214844,54.976115604552824,54.877931873339584,54.94806234554732,51300
2010-10-04,55.01117706298828,55.025201015539956,54.97610915569195,55.01117706298828,102400
2010-10-05,55.06025695800781,55.081295557569256,55.011165108827676,55.03921835844636,156700
2010-10-06,55.14445114135742,55.14445114135742,55.06029668239666,55.14445114135742,70600
2010-10-07,55.17948532104492,55.18649997187318,55.0532483591905,55.0532483591905,139600
2010-10-08,55.22153091430664,55.242569504137435,55.123347261357715,55.123347261357715,56800
2010-10-11,55.277671813964844,55.277671813964844,55.207541353983046,55.22857995691648,317100
2010-10-12,55.22153091430664,55.29867597742476,55.17945373464504,55.29867597742476,65100
2010-10-13,55.19349670410156,55.24258854749908,55.095313017306516,55.24258854749908,244700
2010-10-14,55.08830642700195,55.172460819472356,55.06726247827445,55.172460819472356,55500
2010-10-15,54.955074310302734,55.109364551981216,54.955074310302734,55.07429664228636,62400
2010-10-18,55.09532165527344,55.137404206647425,55.03220585412817,55.137404206647425,40900
2010-10-19,55.116355895996094,55.123370545771984,55.01817220157384,55.05324009984324,105700
2010-10-20,55.137420654296875,55.165473913377745,55.053260877054285,55.165473913377745,88000
2010-10-21,55.14445114135742,55.15848045159363,55.06029668239666,55.15848045159363,412700
2010-10-22,55.116355895996094,55.1444091444896,55.08129334833674,55.1444091444896,34900
2010-10-25,55.137420654296875,55.18651252003537,55.10936739521601,55.18651252003537,154000
2010-10-26,55.02520751953125,55.09533799180191,54.9691010014699,55.09533799180191,93100
2010-10-27,54.997135162353516,55.06726561027087,54.98311121301412,55.06726561027087,65800
2010-10-28,55.137420654296875,55.13742065429688,55.03222227039665,55.08131413613515,122400
2010-10-29,55.19784927368164,55.21892970695587,55.078384549711714,55.19784927368163,90600
2010-11-01,55.21894836425781,55.373545408836634,55.16273028236527,55.373545408836634,57600
2010-11-02,55.19081115722656,55.296218666668565,55.11351267438567,55.296218666668565,86000
2010-11-03,55.31028747558594,55.387585982151855,55.13461002634525,55.13461002634525,105200
2010-11-04,55.36648178100586,55.49296970461656,55.24702245349797,55.49296970461656,115900
2010-11-05,55.345401763916016,55.366482191132626,55.204856647058605,55.204856647058605,161700
2010-11-08,55.31734085083008,55.33842129638065,55.268151357461186,55.317340850830085,149800
2010-11-09,55.16974639892578,55.32434340852189,55.141637364340106,55.32434340852189,90800
2010-11-10,55.21894836425781,55.21894836425781,55.036242278732715,55.1416498419684,71200
2010-11-11,55.10647964477539,55.19080671779563,55.06431878888937,55.19080671779563,34800
2010-11-12,55.02920913696289,55.141645291469324,54.98704825964844,55.127588091530555,145000
2010-11-15,54.881622314453125,54.96594940207522,54.85351328524577,54.94486897048198,60600
2010-11-16,54.790306091308594,54.86760462942626,54.72003615517957,54.790306091308594,68500
2010-11-17,54.78323745727539,55.001075708469,54.71296757249506,55.001075708469,124900
2010-11-18,54.85354232788086,54.93084085881513,54.698945266012316,54.93084085881513,86900
2010-11-19,54.86756896972656,54.86756896972657,54.790270481846974,54.81135091285977,91100
2010-11-22,54.96600341796875,54.97303202248999,54.81140628602797,54.90978530430767,77800
2010-11-23,54.98704528808594,55.02218292478305,54.902718176763244,55.02218292478305,57400
2010-11-24,54.8394660949707,54.90973599331487,54.79730522821413,54.90973599331487,89900
2010-11-26,54.82540512084961,54.839462316299596,54.80432468892385,54.811353286648846,30300
2010-11-29,54.82540512084961,54.867571345950346,54.797301452448075,54.867571345950346,61800
2010-11-30,54.90143966674805,54.936638699145206,54.85215672424172,54.91551820541934,51500
2010-12-01,54.70429992675781,54.866232656693924,54.62685453914979,54.866232656693924,134300
2010-12-02,54.64801025390625,54.70432980811768,54.62688437820634,54.70432980811768,70600
2010-12-03,54.73950958251953,54.77471398806103,54.59870270322978,54.6550222320828,87500
2010-12-06,54.86623764038086,54.86623764038086,54.739509301096355,54.823996651098724,85800
2010-12-07,54.6339225769043,54.880337395372926,54.598723529374595,54.72545191764992,80100
2010-12-08,54.507198333740234,54.57056521841685,54.4015904402396,54.57056521841685,116700
2010-12-09,54.42971420288086,54.47899713528146,54.38747322409085,54.42971420288086,87800
2010-12-10,54.31708908081055,54.42269693670526,54.281884671699416,54.38749252759413,77900
2010-12-13,54.31708908081055,54.34525153381171,54.19740268413459,54.19740268413459,248700
2010-12-14,54.36636734008789,54.52829471657551,54.26780144880719,54.52829471657551,105800
2010-12-15,54.26079559326172,54.42976503766789,54.232633123953725,54.4016025683599,111900
2010-12-16,54.34524917602539,54.387490167975166,54.246683280516955,54.25371986488295,70600
2010-12-17,54.514244079589844,54.52832262636239,54.32415415523519,54.47903965549704,66000
2010-12-20,54.521278381347656,54.59168184820436,54.47903200408147,54.514236423229924,77500
2010-12-21,54.54946517944336,54.55650176926023,54.44385724632157,54.535381256924396,87900
2010-12-22,54.53534698486328,54.56350944076025,54.471985487674516,54.56350944076025,77200
2010-12-23,54.528358459472656,54.528358459472656,54.429792452969664,54.5213218671828,111600
2010-12-27,54.49723815917969,54.49723815917969,54.29952942506093,54.3842586613067,51100
2010-12-28,54.38425064086914,54.50429268644547,54.370130899296846,54.50429268644547,93700
